Marca temporal,1. Sexo,2. Edad,Edad2,3. Ocupaci�n,Ocupacion Reca,4.1 El funcionamiento mec�nico de las bicicletas (Confiabilidad de los frenos, maniobrabilidad, seguridad, espejos, luces),4.2 El estado de las bicicletas (Limpieza, estado de las ruedas, frenos y asientos),4.3 La comodidad de las bicicletas,5. �Considera que el mantenimiento que reciben las bicicletas es suficiente?,6. �C�mo eval�a el funcionamiento general de las estaciones?,7. �C�mo eval�a la informaci�n general del SBP?,8.1 De bicicletas al momento de su uso,8.2 De lugar al momento de devolver la bicicleta,9. �Considera que los 30 minutos de uso de la bicicleta son suficientes?,1. Escuchar el ruido mec�nico,2. Chequear el historial de viajes mediante la aplicaci�n (APP),3. Pasar la TSC con el lector del totem,Ninguna de las 3,11. �Qu� factores lo motivan a usar el Sistema de Bicicletas P�blicas MI BICI TU BICI?,Otro,12. �Usted cree que utilizar� el Sistema de Bicicletas P�blicas cuando se implemente el pago del uso del mismo?,13. �Qu� modo de transporte utilizaba para realizar los viajes que hace actualmente en bicicleta?,Otro,14. En una escala de 0 a 10 �C�mo valora el grado de utilidad que tiene para usted este servicio?,15. En una escala de 0 a 10 �C�mo eval�a la satisfacci�n general del servicio?,,,,,,
3/9/2016 11:29:25,2. Masculino,31,31,,,Bueno,Bueno,Bueno,1. S�,Bueno,Regular,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,9,8,,,,,,,,,
3/9/2016 11:29:35,2. Masculino,43,43,Empleado Administrativo,,Bueno,Bueno,Bueno,99. Ns/Nc,Bueno,Bueno,Suficiente,Suficiente,1. S�,Si,Si,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 2. Auto como conductor, 6. A pie,,7,6,,,,,,,,
3/9/2016 11:30:01,1. Femenino,27,27,Dise�adora de moda,,Bueno,Muy Bueno,Muy Bueno,2. No,Regular,Bueno,Insuficiente,Insuficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo, 6. A pie,,10,8,,,,,,,,,
3/9/2016 11:30:36,2. Masculino,50,50,Desocupado,,Muy Bueno,Muy Bueno,Muy Bueno,1. S�,Muy Bueno,Regular,Suficiente,Suficiente,99. Ns/Nc,Si,No,Si,usa alguna,2. Ahorro de dinero, 4. Protecci�n del medioambiente, 5. Comodidad,,99. Ns/Nc,1. Colectivo, 6. A pie,,10,10,,,,,,,,,
3/9/2016 11:31:16,2. Masculino,34,34,empleado administrativo,,Regular,Regular,Regular,2. No,Bueno,Bueno,Insuficiente,Insuficiente,2. No,Si,Si,No,usa alguna,2. Ahorro de dinero, 4. Protecci�n del medioambiente,,99. Ns/Nc,1. Colectivo, 6. A pie,,6,6,,,,,,,,,,
3/9/2016 11:31:51,2. Masculino,23,23,Estudiante, empleado.,,Regular,Malo,Bueno,99. Ns/Nc,Muy Bueno,Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 2. Auto como conductor, 6. A pie,,8,6,,,,,
3/9/2016 11:32:10,1. Femenino,21,21,,,Bueno,Bueno,Bueno,2. No,Muy Bueno,Muy Bueno,Suficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 4. Taxi / Remis, 6. A pie,,9,9,,,,,,,,
3/9/2016 11:32:17,2. Masculino,18,18,Deportista - Estudiante,,Regular,Regular,Bueno,99. Ns/Nc,Bueno,Muy Bueno,Suficiente,Suficiente,1. S�,Si,Si,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente, 5. Comodidad,,2. No,1. Colectivo, 3. Auto como acompa�ante, 4. Taxi / Remis, 6. A pie,,8,8,,,,,,
3/9/2016 11:32:29,2. Masculino,25,25,Empleado de comercio,,Regular,Bueno,Muy Bueno,2. No,Malo,Regular,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,99. Ns/Nc,1. Colectivo, 6. A pie,,10,6,,,,,,,
3/9/2016 11:32:55,2. Masculino,30,30,Empleado de Sistemas ,,Bueno,Bueno,Bueno,99. Ns/Nc,Bueno,Muy Bueno,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 5. Comodidad,,99. Ns/Nc,6. A pie, 8. Otro,Bicicleta propia,10,10,,,,,,,,,
3/9/2016 11:33:24,1. Femenino,27,27,Licenciada en Radiologia,,Bueno,Bueno,Muy Bueno,2. No,Bueno,Bueno,Insuficiente,Suficiente,1. S�,Si,No,Si,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,2. No,1. Colectivo,,10,9,,,,,,,,,,
3/9/2016 11:33:30,2. Masculino,23,23,Empleado y estudiante,,Bueno,Regular,Muy Bueno,2. No,Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,Si,No,usa alguna,1. Ahorro de tiempo, 5. Comodidad,,1. S�,1. Colectivo,,7,7,,,,,,,,,,,
3/9/2016 11:33:31,2. Masculino,33,33,,,Bueno,Bueno,Bueno,1. S�,Bueno,Muy Bueno,Insuficiente,Insuficiente,2. No,Si,No,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,9,9,,,,,,,,
3/9/2016 11:33:55,1. Femenino,20,20,Estudiante,,Malo,Bueno,Bueno,1. S�,Muy Bueno,Bueno,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad, 6. Otro,,1. S�,1. Colectivo, 6. A pie,,9,7,,,,,,
3/9/2016 11:33:59,1. Femenino,29,29,Arquitecta,,Bueno,Regular,Bueno,2. No,Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 4. Taxi / Remis, 6. A pie,,8,8,,,,,,,,
3/9/2016 11:34:05,2. Masculino,32,32,Comerciante,,Regular,Regular,Bueno,2. No,Muy Bueno,Muy Bueno,Suficiente,Suficiente,2. No,Si,No,Si,usa alguna,1. Ahorro de tiempo, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,99. Ns/Nc,2. Auto como conductor, 6. A pie,,7,8,,,,,,,,
3/9/2016 11:34:15,2. Masculino,23,23,Estudiante,,Bueno,Regular,Bueno,2. No,Bueno,Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,2. No,1. Colectivo, 6. A pie,,10,6,,,,,,,,
3/9/2016 11:34:22,1. Femenino,29,29,Empleada,,Regular,Bueno,Muy Bueno,2. No,Muy Bueno,Ns/Nc,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,1. S�,1. Colectivo, 6. A pie,,9,9,,,,,,,,,
3/9/2016 11:34:20,2. Masculino,42,42,Docente Universitario,,Bueno,Bueno,Bueno,1. S�,Regular,Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 5. Comodidad,,1. S�,1. Colectivo, 2. Auto como conductor, 4. Taxi / Remis,,8,7,,,,,,,,
3/9/2016 11:34:45,2. Masculino,24,24,Empleado administrativo,,Muy Bueno,Muy Bueno,Muy Bueno,2. No,Regular,Muy Bueno,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,2. No,1. Colectivo, 6. A pie,,10,8,,,,,,,,
3/9/2016 11:34:47,2. Masculino,20,20,Empleado,,Bueno,Bueno,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 2. Auto como conductor, 6. A pie,,10,8,,,,,,,,
3/9/2016 11:34:58,2. Masculino,24,24,Estudiante y trabajador (casi ing civil) ,,Bueno,Bueno,Bueno,2. No,Regular,Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,9,7,,,,,,,
3/9/2016 11:35:01,2. Masculino,25,25,Estudiante,,Muy Bueno,Muy Bueno,Regular,1. S�,Malo,Regular,Insuficiente,Insuficiente,1. S�,No,Si,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,1. S�,1. Colectivo, 4. Taxi / Remis, 6. A pie,,9,7,,,,,,,,
3/9/2016 11:35:11,2. Masculino,20,20,Estudiante,,Regular,Regular,Bueno,2. No,Regular,Ns/Nc,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 5. Comodidad,,2. No,1. Colectivo,,7,7,,,,,,,,,,
3/9/2016 11:35:16,2. Masculino,57,57,Comerciante,,Bueno,Bueno,Bueno,2. No,Bueno,Bueno,Suficiente,Suficiente,2. No,Si,No,No,usa alguna,3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad, 6. Otro,Tener la posibilidad de hacer un ejercicio f�sico, que me ayudan a mantener un estado tanto an�mico como f�sico mucho mejor,1. S�,2. Auto como conductor,,8,8,,,,,,,,
3/9/2016 11:35:31,2. Masculino,37,37,Empleado,,Bueno,Bueno,Muy Bueno,1. S�,Bueno,Regular,Suficiente,Suficiente,2. No,Si,No,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 6. A pie,,8,8,,,,,,,,,
3/9/2016 11:35:32,2. Masculino,47,47,Dise�o gr�fico ,,Bueno,Bueno,Bueno,2. No,Bueno,Muy Bueno,Suficiente,Suficiente,2. No,Si,No,No,usa alguna,2. Ahorro de dinero,,99. Ns/Nc,1. Colectivo,,6,6,,,,,,,,,,,,
3/9/2016 11:35:34,1. Femenino,23,23,ESTUDIANTE,,Bueno,Regular,Muy Bueno,99. Ns/Nc,Regular,Bueno,Insuficiente,Insuficiente,1. S�,Si,Si,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 6. A pie,,9,7,,,,,,,,,
3/9/2016 11:35:35,1. Femenino,27,27,Estudiante de doctorado,,Bueno,Regular,Bueno,2. No,Bueno,Malo,Insuficiente,Suficiente,1. S�,Si,Si,No,usa alguna,1. Ahorro de tiempo,,2. No,1. Colectivo,,5,3,,,,,,,,,,,,
3/9/2016 11:35:40,1. Femenino,24,24,Estudiante universitario,,Bueno,Bueno,Muy Bueno,1. S�,Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,Si,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,99. Ns/Nc,1. Colectivo, 6. A pie,,9,8,,,,,,,,,
3/9/2016 11:35:46,2. Masculino,35,35,Analista de ingenier�a , en este momento desempleado,,Bueno,Malo,Bueno,2. No,Bueno,Bueno,Suficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 5. Comodidad, 6. Otro,Facilidad de acceso al centro de la ciudad ,1. S�,2. Auto como conductor, 6. A pie,,8,7,,,,,,,,
3/9/2016 11:35:56,2. Masculino,20,20,Empleado,,Bueno,Bueno,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 2. Auto como conductor, 6. A pie,,10,8,,,,,,,,
3/9/2016 11:36:00,2. Masculino,32,32,Ingeniero,,Muy Bueno,Muy Bueno,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,2. No,Si,Si,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,8,8,,,,,,,
3/9/2016 11:36:03,2. Masculino,37,37,analista en sistemas,,Regular,Regular,Bueno,2. No,Malo,Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 3. Salud, 5. Comodidad,,2. No,1. Colectivo, 6. A pie,,8,5,,,,,,,,,
3/9/2016 11:36:07,2. Masculino,39,39,Empleado ,,Bueno,Bueno,Bueno,2. No,Bueno,Bueno,Insuficiente,Insuficiente,2. No,Si,Si,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,4. Taxi / Remis, 6. A pie,,9,9,,,,,,,,,
3/9/2016 11:36:12,1. Femenino,24,24,Empleada,,Muy Bueno,Bueno,Muy Bueno,1. S�,Bueno,Bueno,Suficiente,Suficiente,2. No,Si,No,Si,usa alguna,2. Ahorro de dinero,,2. No,1. Colectivo,,10,10,,,,,,,,,,,,
3/9/2016 11:36:20,2. Masculino,30,30,Empleado y estudiante,,Muy Bueno,Muy Bueno,Muy Bueno,99. Ns/Nc,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 2. Auto como conductor, 3. Auto como acompa�ante, 6. A pie,,8,8,,,,,,,
3/9/2016 11:36:24,2. Masculino,21,21,,,Bueno,Regular,Bueno,2. No,Bueno,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 5. Comodidad,,1. S�,2. Auto como conductor, 3. Auto como acompa�ante, 6. A pie,,9,8,,,,,,,,,
3/9/2016 11:36:28,1. Femenino,22,22,Estudiante,,Bueno,Regular,Bueno,2. No,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,10,8,,,,,,,,
3/9/2016 11:36:29,2. Masculino,21,21,Estudiante,,Bueno,Muy Bueno,Muy Bueno,1. S�,Muy Bueno,Bueno,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,10,9,,,,,,,
3/9/2016 11:36:32,1. Femenino,27,27,estudiante y empleada,,Bueno,Regular,Muy Bueno,2. No,Malo,Bueno,Insuficiente,Insuficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,2. No,1. Colectivo,,6,7,,,,,,,,
3/9/2016 11:37:06,1. Femenino,40,40,docente,,Bueno,Bueno,Muy Bueno,99. Ns/Nc,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,2. No,1. Colectivo, 6. A pie,,10,8,,,,,,,
3/9/2016 11:37:17,2. Masculino,23,23,Estudiante, Pasante en el Poder Judicial.,,Regular,Regular,Bueno,2. No,Bueno,Bueno,Insuficiente,Suficiente,1. S�,Si,No,Si,usa alguna,2. Ahorro de dinero, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,8,5,,,,,,,,,
3/9/2016 11:37:21,1. Femenino,23,23,Estudiante,,Regular,Bueno,Muy Bueno,99. Ns/Nc,Bueno,Bueno,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo, 2. Auto como conductor, 6. A pie,,9,7,,,,,,,,
3/9/2016 11:37:34,2. Masculino,33,33,Empleado/Agente de viajes,,Regular,Regular,Muy Bueno,2. No,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,2. No,No,Si,No,usa alguna,1. Ahorro de tiempo, 3. Salud, 5. Comodidad,,1. S�,1. Colectivo, 3. Auto como acompa�ante, 6. A pie,,10,6,,,,,,,,
3/9/2016 11:37:50,1. Femenino,20,20,Estudiante,,Regular,Regular,Bueno,2. No,Muy Bueno,Muy Bueno,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,10,8,,,,,,,
3/9/2016 11:38:00,1. Femenino,29,29,Empleada profesional.,,Regular,Bueno,Bueno,1. S�,Regular,Muy Bueno,Insuficiente,Insuficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 6. A pie,,7,7,,,,,,,,
3/9/2016 11:38:11,2. Masculino,22,22,,,Bueno,Bueno,Regular,1. S�,Muy Bueno,Ns/Nc,Insuficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 4. Taxi / Remis, 6. A pie,,8,8,,,,,,,
3/9/2016 11:38:20,1. Femenino,27,27,Contadora - empleada,,Regular,Bueno,Muy Bueno,2. No,Bueno,Regular,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud,,99. Ns/Nc,1. Colectivo, 6. A pie, 9. Ninguno de los anteriores (Es un viaje que antes no hac�a),,7,7,,,,,,,,
3/9/2016 11:38:33,1. Femenino,52,52,Agente de Viajes,,Bueno,Bueno,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Insuficiente,2. No,Si,No,Si,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,99. Ns/Nc,2. Auto como conductor,,7,8,,,,,,,,,,
3/9/2016 11:38:38,1. Femenino,30,30,Empleada,,Regular,Bueno,Bueno,2. No,Regular,Bueno,Insuficiente,Suficiente,2. No,Si,Si,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,2. No,1. Colectivo,,8,7,,,,,,,,,,
3/9/2016 11:38:41,2. Masculino,28,28,Tecnico analista,,Bueno,Bueno,Bueno,1. S�,Bueno,Regular,Suficiente,Suficiente,1. S�,Si,No,No,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,1. S�,1. Colectivo, 6. A pie,,7,8,,,,,,,,
3/9/2016 11:38:44,1. Femenino,52,52,Actriz, Narradora oral, titiritera.,,Bueno,Bueno,Muy Bueno,2. No,Bueno,Muy Bueno,Insuficiente,Suficiente,1. S�,Si,Si,No,usa alguna,3. Salud, 4. Protecci�n del medioambiente,,1. S�,2. Auto como conductor, 6. A pie,,9,9,,,,,,,,
3/9/2016 11:38:54,1. Femenino,28,28,Empleada y estudiante,,Regular,Regular,Regular,2. No,Bueno,Bueno,Insuficiente,Suficiente,2. No,Si,No,Si,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente,,2. No,1. Colectivo, 2. Auto como conductor, 6. A pie,,8,6,,,,,,,,
3/9/2016 11:39:34,2. Masculino,55,55,Comerciante,,Muy Bueno,Muy Bueno,Muy Bueno,1. S�,Muy Bueno,Bueno,Suficiente,Suficiente,2. No,Si,No,Si,usa alguna,3. Salud, 4. Protecci�n del medioambiente,,1. S�,2. Auto como conductor,,9,8,,,,,,,,,,,
3/9/2016 11:39:35,1. Femenino,29,29,Abogada  / empleada judicial,,Muy Bueno,Regular,Muy Bueno,1. S�,Muy Bueno,Muy Bueno,Insuficiente,Suficiente,1. S�,Si,Si,Si,usa alguna,1. Ahorro de tiempo, 2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 5. Comodidad,,1. S�,1. Colectivo, 4. Taxi / Remis, 6. A pie,,10,9,,,,,,
3/9/2016 11:40:31,1. Femenino,22,22,Estudiante,,Muy Bueno,Regular,Bueno,2. No,Bueno,Bueno,Insuficiente,Suficiente,2. No,Si,Si,No,usa alguna,2. Ahorro de dinero, 3. Salud, 4. Protecci�n del medioambiente, 6. Otro,Actividad f�sica ,1. S�,1. Colectivo, 3. Auto como acompa�ante,,8,8,,,,,,,,
